ChangeCode	ReferenceClass	NewClass	PixelSum
1	0.0	0.0	242400598
2	0.0	1.0	0
3	0.0	2.0	0
4	0.0	3.0	0
5	0.0	4.0	0
6	0.0	5.0	0
7	0.0	6.0	0
8	0.0	7.0	0
9	0.0	8.0	0
10	0.0	9.0	0
11	1.0	0.0	0
12	1.0	1.0	17901726
13	1.0	2.0	597525
14	1.0	3.0	2271636
15	1.0	4.0	1299843
16	1.0	5.0	1512721
17	1.0	6.0	16691
18	1.0	7.0	2159
19	1.0	8.0	3050
20	1.0	9.0	125
21	2.0	0.0	0
22	2.0	1.0	594071
23	2.0	2.0	2605090
24	2.0	3.0	479997
25	2.0	4.0	22312
26	2.0	5.0	126980
27	2.0	6.0	37285
28	2.0	7.0	3234
29	2.0	8.0	26499
30	2.0	9.0	5557
31	3.0	0.0	0
32	3.0	1.0	490449
33	3.0	2.0	2960
34	3.0	3.0	820006
35	3.0	4.0	137739
36	3.0	5.0	141929
37	3.0	6.0	1938
38	3.0	7.0	38
39	3.0	8.0	580
40	3.0	9.0	73
41	4.0	0.0	0
42	4.0	1.0	173343
43	4.0	2.0	737
44	4.0	3.0	423245
45	4.0	4.0	479439
46	4.0	5.0	834255
47	4.0	6.0	6035
48	4.0	7.0	20
49	4.0	8.0	308
50	4.0	9.0	8
51	5.0	0.0	0
52	5.0	1.0	1344276
53	5.0	2.0	153547
54	5.0	3.0	2849363
55	5.0	4.0	2947892
56	5.0	5.0	6314759
57	5.0	6.0	152397
58	5.0	7.0	4650
59	5.0	8.0	22484
60	5.0	9.0	3355
61	6.0	0.0	0
62	6.0	1.0	4319
63	6.0	2.0	45032
64	6.0	3.0	26984
65	6.0	4.0	48565
66	6.0	5.0	347022
67	6.0	6.0	374643
68	6.0	7.0	2499
69	6.0	8.0	19253
70	6.0	9.0	439
71	7.0	0.0	0
72	7.0	1.0	938
73	7.0	2.0	11874
74	7.0	3.0	3603
75	7.0	4.0	1372
76	7.0	5.0	26947
77	7.0	6.0	6500
78	7.0	7.0	6248
79	7.0	8.0	3675
80	7.0	9.0	130
81	8.0	0.0	0
82	8.0	1.0	17648
83	8.0	2.0	358425
84	8.0	3.0	23752
85	8.0	4.0	14967
86	8.0	5.0	119014
87	8.0	6.0	404336
88	8.0	7.0	12208
89	8.0	8.0	203272
90	8.0	9.0	56292
91	9.0	0.0	0
92	9.0	1.0	4944
93	9.0	2.0	33767
94	9.0	3.0	814
95	9.0	4.0	9
96	9.0	5.0	852
97	9.0	6.0	837
98	9.0	7.0	1260
99	9.0	8.0	32156
100	9.0	9.0	208608
