system:index,B1,B2,B3,B4,B5,B6,B7,ClassID,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_1_1_1_1_0_0,0.08158252,0.057274144,0.038884304,0.14042643,0.049679905,291.98297,0.019312982,0,0.33320318720626785,-3.974188,0.10416666666666669,856582.0416666666,-0.23137693209067248,785.1666666666666,2.2821740957339185,1.1931652178524074E-5,-9590.25,351291.4314236073,0.47734612,0.44014573,0.5662914,0.06242389893338835,0.4997963661739885,
1_1_1_1_1_1_1_1_0_1,0.08542909,0.06059976,0.040374964,0.1426874,0.052374624,291.98215,0.02364986,0,0.343690590284437,-4.762491,0.10416666666666669,660343.9583333333,-0.2730055284625593,692.625,2.2821740957339185,1.2581150587658701E-5,-9857.5,268272.05208333116,0.46299517,0.3778357,0.55889386,0.06774452882211185,0.4997963661739885,
1_1_1_1_1_1_1_1_0_2,0.08415975,0.062195092,0.04036439,0.20326523,0.077478096,291.98297,0.027400294,0,0.5001539863982304,-4.990965,0.10416666666666669,973102.9791666665,0.12937762826157878,814.4791666666665,2.2821740957339185,1.2593542411330858E-5,-10056.3125,592374.508246528,0.44805032,0.47748446,0.6686414,0.18507232482795338,0.4997963661739885,
1_1_1_1_1_1_1_1_0_3,0.08525345,0.06220369,0.040374964,0.16754818,0.060685694,292.20746,0.027460333,0,0.412687214189038,-4.6861453,0.10416666666666669,1026702.6249999998,0.12726782512774337,854.4166666666667,2.2821740957339185,1.2009179154088296E-5,-10614.666666666666,606898.4105902798,0.46821484,0.37693542,0.6116357,0.10973272025941784,0.4997963661739885,
1_1_1_1_1_1_1_1_2_0,0.08799395,0.061081544,0.040339306,0.1689885,0.06325957,293.3249,0.022905916,0,0.4282198723162419,-4.9837174,0.10416666666666669,2285835.3125,0.033968765584756574,1217.1041666666667,2.2821740957339185,1.6805035884583593E-5,-11761.729166666666,1214276.812065972,0.45524135,0.46832737,0.6145824,0.12254383620917918,0.07694779212517855,
1_1_1_1_1_1_1_1_2_1,0.0845151,0.058618378,0.03969707,0.14848366,0.052431025,292.87842,0.020742835,0,0.361271875959263,-6.9217896,0.10416666666666669,1410730.5416666667,-0.060297055227280676,953.6250000000001,2.2821740957339185,4.620650313086291E-5,-12359.083333333334,668377.828993056,0.47807673,0.4330534,0.57809633,0.07221890851189347,0.07694779212517855,
1_1_1_1_1_1_1_1_2_2,0.08411388,0.06333274,0.040997054,0.19550167,0.079096064,293.3249,0.029801413,0,0.47649555561589,-4.7288013,0.10416666666666669,781968.0416666667,-0.06879408559077892,646.625,2.2821740957339185,2.2130721993864827E-5,-10611.833333333334,376907.64930555783,0.4239132,0.45267028,0.6533,0.18783507922275605,0.07694779212517855,
1_1_1_1_1_1_1_1_2_3,0.08610298,0.06189398,0.041187733,0.17502823,0.06705674,293.3249,0.02587339,0,0.43097485766154164,-6.081663,0.10416666666666669,895082.0625000001,-0.1720107768741245,736.3541666666665,2.2821740957339185,7.483549448872052E-5,-11503.729166666668,383153.0724826362,0.4460066,0.44316468,0.619013,0.1350395777310281,0.07694779212517855,
1_1_1_1_1_1_1_1_10_0,0.09753109,0.0740145,0.051130302,0.26513666,0.112154886,292.20245,0.04443108,0,0.6365937779353172,-6.22737,0.10416666666666669,663793.8125,-0.07424399539232415,668.8958333333334,2.2821740957339185,6.244400700358642E-5,-11946.270833333332,311305.67664930597,0.40547362,0.43250242,0.67666364,0.2498102859875179,0.04084199671038147,
1_1_1_1_1_1_1_1_10_1,0.09536034,0.07581658,0.052217435,0.21741837,0.084151566,292.87924,0.03282534,0,0.5064279471864559,-6.5322256,0.10416666666666669,444607.7083333334,-0.049339156357055505,532.4583333333333,2.2821740957339185,6.344745602205099E-5,-12523.625,213148.08506944962,0.44191012,0.4387723,0.61268175,0.14639576052845304,0.04084199671038147,
1_1_1_1_1_1_1_1_10_2,0.09656291,0.07495081,0.050059106,0.22940269,0.09660403,293.10205,0.035563536,0,0.5565973794462281,-5.810972,0.10416666666666669,482899.8333333333,-0.08593735483688034,546.4166666666666,2.2821740957339185,1.3782112100714944E-4,-12834.916666666666,234850.9696180597,0.40734947,0.4618417,0.64174634,0.20421277032441243,0.04084199671038147,
1_1_1_1_1_1_1_1_10_3,0.09671081,0.074005865,0.051497806,0.23520513,0.1010282,293.3249,0.036209207,0,0.5608624218175426,-6.324772,0.10416666666666669,748459.4583333334,-0.3826071654258451,759.8333333333333,2.2821740957339185,3.9536658470147076E-5,-11719.833333333332,278559.1493055513,0.399059,0.47231284,0.64075845,0.212202708338776,0.04084199671038147,
1_1_1_1_1_1_1_1_10_4,0.097135425,0.07098465,0.05047468,0.207169,0.07800685,293.10205,0.030746799,0,0.5012605091848287,-5.294134,0.10416666666666669,1667763.2083333335,-0.07699333340048575,985.0416666666667,2.2821740957339185,3.890221544839866E-5,-11662.625,819163.4192708358,0.45292106,0.4345606,0.60818225,0.13069818614306444,0.04084199671038147,
1_1_1_1_1_1_1_1_10_5,0.095255844,0.074463025,0.053240556,0.2373685,0.099175125,293.10205,0.038368404,0,0.5464431033749805,-6.7905116,0.10416666666666669,3178956.5833333335,-0.07940465877005055,1384.5416666666667,2.2821740957339185,1.299047246224062E-5,-11467.958333333332,1531789.852430555,0.41062543,0.44209075,0.63359326,0.19668670198620777,0.04084199671038147,
1_1_1_1_1_1_1_1_11_0,0.09515135,0.06649186,0.04529921,0.1449578,0.053831626,291.98297,0.022665724,0,0.35434520269603054,-5.779303,0.10416666666666669,388576.37499999994,0.2646526252729008,503.75,2.2821740957339185,0.0011535766153192406,-11403.916666666666,240791.5659722127,0.45840552,0.40741152,0.5238103,0.046647526840888236,0.6748884574837029,
1_1_1_1_1_1_1_1_11_1,0.09520337,0.069690354,0.045323975,0.16421542,0.06044373,292.43195,0.025111964,0,0.4115975750445838,-5.231788,0.10416666666666669,242193.72916666666,-0.3267965217789609,398.31250000000006,2.2821740957339185,0.0021101465645105336,-10944.604166666666,95717.8276909627,0.46190724,0.412968,0.5673942,0.07990508440548158,0.6748884574837029,
1_1_1_1_1_1_1_1_11_2,0.09671081,0.06649186,0.04798293,0.14279947,0.050389178,291.98297,0.021548968,0,0.3360543928326142,-5.861461,0.10416666666666669,533528.2916666667,0.16964381736688414,584.25,2.2821740957339185,5.3394387651548906E-5,-11881.875,338391.0989583321,0.47834224,0.4009029,0.49698785,0.013212268585305241,0.6748884574837029,
1_1_1_1_1_1_1_1_11_3,0.096816555,0.069652274,0.04534874,0.13802265,0.056952786,291.98297,0.024759578,0,0.33872490380535714,-5.359652,0.10416666666666669,578366.5,-0.2845967630437577,593.0416666666666,2.2821740957339185,0.0010054805501416117,-10989.291666666668,232694.67100694124,0.41579527,0.39398208,0.50538915,0.062386051270342524,0.6748884574837029,
1_1_1_1_1_1_1_1_11_4,0.09428292,0.06883851,0.04643052,0.17387275,0.06857528,291.30615,0.028895207,0,0.4274668605108755,-5.8150153,0.10416666666666669,1504503.5208333333,0.037283194519214,958.4375,2.2821740957339185,4.016751951142851E-5,-11712.9375,792228.721788194,0.43430948,0.40709832,0.5784854,0.11180765549398704,0.6748884574837029,
1_1_1_1_1_1_1_1_11_5,0.09333581,0.06504071,0.043244556,0.14585279,0.055430908,291.98297,0.022451727,0,0.3637034084370893,-5.420484,0.10416666666666669,859273.4999999999,0.04731991552902683,796.125,2.2821740957339185,3.596805251479242E-5,-10331.5,449533.1918402761,0.44922605,0.42344716,0.54262125,0.06678320932053315,0.6748884574837029,
1_1_1_1_1_1_1_1_12_0,0.09448011,0.072734386,0.05103701,0.26314652,0.11302446,292.43195,0.044023238,0,0.6160474560394508,-4.159831,0.10416666666666669,852361.5,0.04987050778661069,760.5416666666666,2.2821740957339185,0.004192194462234217,-9205.041666666668,461409.5434027733,0.39907932,0.43936473,0.6751134,0.253053767032528,0.21351296321745894,
1_1_1_1_1_1_1_1_12_1,0.09296332,0.07026029,0.049060203,0.23589027,0.107481256,292.65558,0.042140283,0,0.56069660277686,-5.30992,0.10416666666666669,560167.4166666666,0.011327459480196759,550.0833333333333,2.2821740957339185,0.004279898777282759,-10303.041666666668,296622.7769097192,0.37396523,0.43670833,0.655658,0.2456999294723197,0.21351296321745894,
1_1_1_1_1_1_1_1_12_2,0.09374697,0.07565163,0.052721314,0.2866732,0.1273736,292.87924,0.049361832,0,0.6499393874724659,-4.1124935,0.11197916666666669,827067.3958333333,0.12664915902438653,683.3958333333333,2.2388523969489222,0.06257569743586884,-8315.770833333332,469448.7287326418,0.38473812,0.44140425,0.68932134,0.28659939290968994,0.21351296321745894,
1_1_1_1_1_1_1_1_12_3,0.09369422,0.07226612,0.049347077,0.25945458,0.11683063,292.87924,0.042928606,0,0.615912319874625,-5.5499573,0.10416666666666669,1367592.5416666667,0.11566028142431237,911.4166666666666,2.2821740957339185,1.003991638291315E-4,-9825.958333333334,755735.9982638862,0.3790315,0.46258375,0.6803963,0.2734392145503905,0.21351296321745894,
