system:index,B10,B2,B3,B4,B5,B6,B7,ClassID,EVI,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_1_1_1_1_3_0,292.9129,0.08555508,0.06891803,0.043790955,0.27252454,0.11905888,0.0453281,0,0.6399164607038772,0.39191052,0.4485196,0.7231185,0.3084987260800486,0.4706051497046464,
1_1_1_1_1_1_1_1_3_1,292.9129,0.08396416,0.0678765,0.043575656,0.2456347,0.11141194,0.044609014,0,0.5757603541441116,0.37592503,0.42816636,0.6986577,0.2867074964615524,0.4706051497046464,
1_1_1_1_1_1_1_1_3_2,293.12305,0.08491043,0.06494397,0.04160064,0.21099108,0.09624639,0.03798059,0,0.5140728641876331,0.37347233,0.43408412,0.67060965,0.24836377488941833,0.4706051497046464,
1_1_1_1_1_1_1_1_3_3,293.28198,0.08409239,0.06520566,0.043438688,0.23391148,0.104133464,0.042733274,0,0.5512318426143267,0.3839076,0.41806737,0.68675923,0.2644377012579616,0.4706051497046464,
1_1_1_1_1_1_1_1_3_4,293.0449,0.08487478,0.06811819,0.044057745,0.24114153,0.10517616,0.043847095,0,0.5670319442083253,0.392603,0.4115402,0.69103885,0.26437142226404875,0.4706051497046464,
1_1_1_1_1_1_1_1_3_5,293.0598,0.088191465,0.06732249,0.043773178,0.24336466,0.105858326,0.042857703,0,0.5908095735483313,0.3937494,0.42363036,0.69510686,0.26824839119588184,0.4706051497046464,
1_1_1_1_1_1_1_1_5_0,296.3156,0.09215486,0.076143175,0.04919982,0.29553673,0.14510477,0.061757702,0,0.6845930824360327,0.34139308,0.4029105,0.7145657,0.34839418568597663,0.20706409376289292,
1_1_1_1_1_1_1_1_5_1,296.31683,0.09299034,0.07619151,0.049100433,0.30624014,0.14298403,0.060890205,0,0.7115767757911501,0.3634179,0.40266895,0.72364295,0.3437829677002013,0.20706409376289292,
1_1_1_1_1_1_1_1_5_2,296.35675,0.09403907,0.07733368,0.050969407,0.32295978,0.16081047,0.06736634,0,0.7363165058999546,0.33517835,0.4095251,0.7273847,0.3756668830741026,0.20706409376289292,
1_1_1_1_1_1_1_1_5_3,296.27325,0.090911746,0.07306449,0.045378204,0.2883029,0.11820075,0.049111683,0,0.6911212202030181,0.41845173,0.41293445,0.7280145,0.2971275940861229,0.20706409376289292,
