system:index,AVE,ClassID,DIF,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,NDI,NLI,RT1,RT2,random,.geo
1_1_1_1_1_1_1_1_3_0,6286.5,0,2217,-6.1655493,0.10416666666666669,1441373.125,0.12499025142866363,1034.875,2.2821740957339185,3.201634965410185E-5,-13014.125,858804.9392361175,-13.356314,0.10416666666666669,1441373.125,0.12499025142866363,1034.875,2.2821740957339185,3.201634965410185E-5,-13014.125,858804.9392361175,0.17633024,3045.519,1.4281576,0.7002028,0.4706051497046464,
1_1_1_1_1_1_1_1_3_1,7329.0,0,3706,-5.3047504,0.10416666666666669,836848.25,-0.20273540297853568,787.4583333333335,2.2821740957339185,2.4204131288294097E-5,-11683.125,340901.95572916605,-12.025452,0.10416666666666669,836848.25,-0.20273540297853568,787.4583333333335,2.2821740957339185,2.4204131288294097E-5,-11683.125,340901.95572916605,0.25283122,3430.252,1.6767714,0.5963842,0.4706051497046464,
1_1_1_1_1_1_1_1_3_2,6518.5,0,4043,-5.8616,0.10416666666666669,915292.6041666667,-0.22513729906818286,722.4791666666666,2.2821740957339185,6.717914675150085E-4,-11688.395833333332,402336.2131076399,-11.450179,0.10416666666666669,915292.6041666667,-0.22513729906818286,722.4791666666666,2.2821740957339185,6.717914675150085E-4,-11688.395833333332,402336.2131076399,0.31011736,2945.7988,1.8990438,0.5265808,0.4706051497046464,
1_1_1_1_1_1_1_1_3_3,5198.5,0,1777,-6.6238074,0.10416666666666669,1563769.1041666665,0.22341780344105105,1093.7291666666665,2.2821740957339185,1.0228720907807757E-5,-12834.395833333332,1063909.5047743097,-11.412764,0.10416666666666669,1563769.1041666665,0.22341780344105105,1093.7291666666665,2.2821740957339185,1.0228720907807757E-5,-12834.395833333332,1063909.5047743097,0.17091468,2523.321,1.412297,0.70806634,0.4706051497046464,
1_1_1_1_1_1_1_1_3_4,6276.0,0,3024,-5.1132627,0.10416666666666669,803864.3125,-0.44782640327852086,818.3958333333334,2.2821740957339185,4.7089035632689095E-6,-11474.8125,279054.2513020821,-11.798465,0.10416666666666669,803864.3125,-0.44782640327852086,818.3958333333334,2.2821740957339185,4.7089035632689095E-6,-11474.8125,279054.2513020821,0.24091779,2955.8662,1.6347607,0.6117103,0.4706051497046464,
1_1_1_1_1_1_1_1_3_5,4834.5,0,3075,-6.2834263,0.10416666666666669,361969.1666666666,-0.06278398889248187,491.70833333333337,2.2821740957339185,6.7520383480813E-4,-11646.291666666668,175965.30121527705,-10.534613,0.10416666666666669,361969.1666666666,-0.06278398889248187,491.70833333333337,2.2821740957339185,6.7520383480813E-4,-11646.291666666668,175965.30121527705,0.3180267,2172.767,1.9326661,0.51741993,0.4706051497046464,
1_1_1_1_1_1_1_1_3_6,7757.5,0,4527,-5.755087,0.10416666666666669,2634202.833333333,0.24855968979392257,1332.5,2.2821740957339185,2.8804762400875692E-6,-12044.541666666668,1670432.639756944,-11.576944,0.10416666666666669,2634202.833333333,0.24855968979392257,1332.5,2.2821740957339185,2.8804762400875692E-6,-12044.541666666668,1670432.639756944,0.29178214,3548.5256,1.8239897,0.54824865,0.4706051497046464,
1_1_1_1_1_1_1_1_3_7,4500.0,0,2758,-5.286742,0.10416666666666669,3388468.1249999995,-0.22178141965855055,1424.875,2.2821740957339185,5.661086128466028E-6,-10732.708333333332,1335562.6545138843,-9.639641,0.10416666666666669,3388468.1249999995,-0.22178141965855055,1424.875,2.2821740957339185,5.661086128466028E-6,-10732.708333333332,1335562.6545138843,0.30644444,2038.7065,1.8836911,0.5308726,0.4706051497046464,
1_1_1_1_1_1_1_1_3_8,5317.0,0,3974,-6.0168962,0.10416666666666669,1952357.229166667,-0.0655603071832453,940.6041666666666,2.2821740957339185,1.194464931048112E-5,-11315.354166666668,914891.374565973,-9.734109,0.10416666666666669,1952357.229166667,-0.0655603071832453,940.6041666666666,2.2821740957339185,1.194464931048112E-5,-11315.354166666668,914891.374565973,0.37370697,2287.2222,2.1933935,0.45591456,0.4706051497046464,
1_1_1_1_1_1_1_1_5_0,5417.0,0,3398,-6.124269,0.10416666666666669,2229236.5625,-0.13812946312635926,1232.8125,2.2821740957339185,7.161550915647949E-6,-13534.8125,992456.1697048638,-11.57148,0.10416666666666669,2229236.5625,-0.13812946312635926,1232.8125,2.2821740957339185,7.161550915647949E-6,-13534.8125,992456.1697048638,0.31364223,2442.061,1.9139322,0.52248454,0.20706409376289292,
1_1_1_1_1_1_1_1_5_1,4433.0,0,3442,-6.260052,0.10416666666666669,1802453.3333333335,-0.0028304565248157276,1042.0,2.2821740957339185,2.557318568530036E-5,-13628.208333333332,927881.8793402817,-10.749303,0.10416666666666669,1802453.3333333335,-0.0028304565248157276,1042.0,2.2821740957339185,2.557318568530036E-5,-13628.208333333332,927881.8793402817,0.3882247,1882.4326,2.269174,0.440689,0.20706409376289292,
1_1_1_1_1_1_1_1_5_2,2836.5,0,445,-7.18358,0.10416666666666669,1039552.6874999999,-0.0980987685214054,766.3541666666665,2.2821740957339185,1.0030411547054047E-4,-13284.9375,509379.5603298675,-11.079204,0.10416666666666669,1039552.6874999999,-0.0980987685214054,766.3541666666665,2.2821740957339185,1.0030411547054047E-4,-13284.9375,509379.5603298675,0.07844174,1409.5233,1.1702372,0.85452765,0.20706409376289292,
1_1_1_1_1_1_1_1_5_3,4680.0,0,3178,-5.531326,0.10416666666666669,1185569.6875,-0.32169114565369084,933.2708333333333,2.2821740957339185,1.2055780615114523E-5,-12721.604166666668,461554.26345486566,-12.1067705,0.10416666666666669,1185569.6875,-0.32169114565369084,933.2708333333333,2.2821740957339185,1.2055780615114523E-5,-12721.604166666668,461554.26345486566,0.3395299,2070.2434,2.0281463,0.4930611,0.20706409376289292,
1_1_1_1_1_1_1_1_5_4,3032.0,0,1792,-6.592632,0.10416666666666669,475474.5625,-0.23898597574488512,612.7708333333334,2.2821740957339185,2.9451836249590482E-5,-12540.354166666666,202805.62456597574,-11.28879,0.10416666666666669,475474.5625,-0.23898597574488512,612.7708333333334,2.2821740957339185,2.9451836249590482E-5,-12540.354166666666,202805.62456597574,0.29551452,1383.6095,1.8389513,0.5437882,0.20706409376289292,
1_1_1_1_1_1_1_1_5_5,6418.5,0,4419,-6.1995497,0.10416666666666669,436678.0208333334,-0.16141146259651357,566.1875,2.2821740957339185,1.0406018788751101E-4,-12901.770833333334,181815.45789931342,-11.536274,0.10416666666666669,436678.0208333334,-0.16141146259651357,566.1875,2.2821740957339185,1.0406018788751101E-4,-12901.770833333334,181815.45789931342,0.3442393,2828.9517,2.0498931,0.4878303,0.20706409376289292,
1_1_1_1_1_1_1_1_5_6,5836.5,0,2929,-5.904677,0.10416666666666669,1143584.2291666665,-0.3728422360287097,899.0208333333333,2.2821740957339185,3.5563761643829716E-5,-12727.604166666666,414632.6349826325,-12.035898,0.10416666666666669,1143584.2291666665,-0.3728422360287097,899.0208333333333,2.2821740957339185,3.5563761643829716E-5,-12727.604166666666,414632.6349826325,0.25092092,2734.5132,1.6699451,0.59882206,0.20706409376289292,
1_1_1_1_1_1_1_1_5_7,4866.0,0,3114,-6.665623,0.10416666666666669,473169.6666666666,-0.30699009955682366,601.6666666666667,2.2821740957339185,3.7031618354932035E-5,-12456.666666666668,185105.9409722183,-12.543073,0.10416666666666669,473169.6666666666,-0.30699009955682366,601.6666666666667,2.2821740957339185,3.7031618354932035E-5,-12456.666666666668,185105.9409722183,0.31997535,2183.8992,1.9410698,0.5151798,0.20706409376289292,
1_1_1_1_1_1_1_1_5_8,2918.5,0,2121,-5.6807375,0.10416666666666669,559334.3125,-0.15979097119310315,631.8541666666666,2.2821740957339185,1.7705443403616677E-5,-12658.354166666668,245764.51345486008,-11.518777,0.10416666666666669,559334.3125,-0.15979097119310315,631.8541666666666,2.2821740957339185,1.7705443403616677E-5,-12658.354166666668,245764.51345486008,0.36337158,1266.5723,2.14155,0.4669515,0.20706409376289292,
1_1_1_1_1_1_1_1_6_0,6743.0,0,4582,-6.740981,0.10416666666666669,1145266.6458333335,0.13625329043884513,833.0625,2.2821740957339185,2.2091673228447317E-4,-12474.229166666668,636389.0985243097,-10.113577,0.10416666666666669,1145266.6458333335,0.13625329043884513,833.0625,2.2821740957339185,2.2091673228447317E-4,-12474.229166666668,636389.0985243097,0.33975974,2982.3052,2.0292003,0.49280494,0.4591595559769599,
1_1_1_1_1_1_1_1_6_1,7262.5,0,4545,-7.1570196,0.10416666666666669,2651673.0208333335,0.05923496187722927,1294.6041666666665,2.2821740957339185,2.211311468386266E-4,-14764.479166666668,1536666.2964409776,-10.408882,0.10416666666666669,2651673.0208333335,0.05923496187722927,1294.6041666666665,2.2821740957339185,2.211311468386266E-4,-14764.479166666668,1536666.2964409776,0.31290877,3275.7075,1.9108217,0.5233351,0.4591595559769599,
1_1_1_1_1_1_1_1_6_2,7020.0,0,4502,-9.392445,0.10416666666666669,2852399.625,-0.39918686238590684,1455.25,2.2821740957339185,3.556705561628017E-5,-16488.416666666668,1013800.8576388955,-13.937429,0.10416666666666669,2852399.625,-0.39918686238590684,1455.25,2.2821740957339185,3.556705561628017E-5,-16488.416666666668,1013800.8576388955,0.32065526,3149.1025,1.9440135,0.51439977,0.4591595559769599,
